year,month,edition,drive_id,status,notes
2015,7,Regular,1f57vAs_LPODyASlJWlTTcEoDM7eYOKMc,IN DRIVE,
2015,8,Regular,1WP5PhyDBFuxsSvQgty8fmodnOtaFfIlO,IN DRIVE,"Duplicate copy also in folder as ""Pitta - August 2015.pdf"" (1mBg3TXbt-A1SGBKLyWOAhm3ZsJ4rjW1p) - can be deleted"
2015,9,Regular,1WcznXFugiUFFa10Cr0Wm0Zrsb7N1r-6D,IN DRIVE,
2015,10,Regular,1xG4b1q68uQBKE0-A-zfcmgiQr0Y8HgRv,IN DRIVE,
2015,11,Regular,1MlVvcz4UwqTAPO4-LFJMLKqcb8WUw7wF,IN DRIVE,
2015,11,Special - Talakona,10y2E9Ol6Cxw9ntymPfad159csysfyOIT,IN DRIVE,
2015,12,Regular,,MISSING,Not in Gmail - try archive.org pass
2015,,"Special edition (old issue, forwarded privately by Humayun Taher Jan 2016)",1bd77ys1AjZS3wVTQ7U8arb_jeHTeBTDQ,IN DRIVE,"VERIFY: filed as ""2015-07 Pitta - Special - of PITTA.pdf""; open it and re-date/rename before publishing"
2016,1,Regular,112S23V0X6g4YbR_deZ53Z2tvkQVVEjNK,IN DRIVE,
2016,2,Regular,1A3MjtzW-GQgCbIlH7uJPhhj0qxQ-9Ghf,IN DRIVE,
2016,3,Regular,,MISSING,Not in Gmail - try archive.org pass
2016,4,Regular,1iF6bRvYWI4rgevnKpztm51ZKZn5iS9Ku,IN DRIVE,
2016,4,Special - Sattal/Pangot,1E4kqi2sD_8BmBkcwH6AUxZ27pSg-zwzg,IN DRIVE,"File is named ""...Special - Special Issue.pdf"" - rename to Sattal-Pangot"
2016,5,Regular,1FxNg-fwTRuEkuQKR5XZt-o1wlmWAbF5k,IN DRIVE,
2016,6,Regular,1W0Wd2rMrYK2uyiFQMmge-EF4ecn6tyhE,IN DRIVE,
2016,7,Regular,1saSI8R_uHEd3LF4nXRvW41kcnrOWgLJs,IN DRIVE,
2016,8,Regular,1LXphbtfS5WU2o2ZSGobag7mAf5q7hMOH,IN DRIVE,
2016,9,Regular,1kBobSk1Y_MjSpWbmz9ikfmJU4fWtMIiO,IN DRIVE,
2016,10,Regular,1yFDdMmnMZWk6sXc6S0udUOosvGA6qcGs,IN DRIVE,
2016,11,Regular,1Q-Gb-E4W-7mtCuPSIW1XeoIPyPIcS9Nx,IN DRIVE,
2016,12,Regular,14-DlCVkKF1uBTtmm8r08dt030MyshuAD,IN DRIVE,
2017,1,Regular,1eYJqFPE8kBJqSMhrQoaLufQRKXG6BtcH,IN DRIVE,
2017,2,Regular,1IerQVqwfiwt3khwwJ2ssf__65lgKcYr8,IN DRIVE,
2017,3,Regular,1CicFMsvfFdy7J7mYDZGnfzZbbrLPBHxP,IN DRIVE,
2017,4,Regular,1xO_5jLKiCwwSbLYHnoueIgwxI0rhasqZ,IN DRIVE,
2017,5,Regular,,MISSING,Original mail deleted; only replies remain - try archive.org
2017,6,Regular,1fAh-J9d-gisi5m8NJeN1gsLOT9j0v3lh,IN DRIVE,
2017,7,Regular,1JL06jtayhi7t5BdvIo7vHUPfZ57FlExN,IN DRIVE,
2017,8,Regular,1g0fQb_T4yLpiTl5Urul4RBPmPRc7o93H,IN DRIVE,
2017,9,Regular,,MISSING,Sent as Drive link - download from https://mail.google.com/mail/u/0/#all/15ece2ee3057dfd3
2017,10,Regular,1mjuqDsnqvBgCVZkqQ83YNO0C9jWjnBXS,IN DRIVE,
2017,11,Regular,1bGdW46W80XI0nLzReR776W38GZNkt6ob,IN DRIVE,
2017,12,Regular,1rNfXPFl5WYErI5qsSoPY-QQwG_NCSztD,IN DRIVE,
2018,1,Regular,1KzpS103OLz5jpMezOq6DJFe9MwMGgRY1,IN DRIVE,
2018,2,Regular,13CdPTGoJus9ljXdH6h8Y50rQ1EWIDQ22,IN DRIVE,
2018,3,Regular,1DgSVzj29XxOJNS0A8G0C6YRFFo1_nKI5,IN DRIVE,
2018,4,Regular,1o394qN8vIn7sE26UoNqj-9Hd5Zfxxh3h,IN DRIVE,
2018,5,Regular,,MISSING,Not in Gmail - try archive.org pass
2018,6,Regular,1p2go-HXKGQyeg6gNUZ8uwctozl-qKs0D,IN DRIVE,
2018,7,Regular,19rpc02xPWW-rI1LUtuIXRtUStCtQ4TBc,IN DRIVE,
2018,8,Regular,,MISSING,Not in Gmail - try archive.org pass
2018,9,Regular,1cdhxhNx5O7v6nOvAEB579Bhpl_jjnYZw,IN DRIVE,
2018,10,Regular,1GWQUhCtPUD_vAj7kkpxVsBKLRF5sl0mq,IN DRIVE,
2018,11,Regular,1N184T_sPz4GSbv44GRqmpNKIwfJpjIdR,IN DRIVE,
2018,11,Special - Tanzania,1pUQ4NbpFK4ZYeocFWy8q3iCQhVPMr6Au,IN DRIVE,"Near-identical re-send also saved as ""(v2 2018-11-22)"" (10wZOd1yK5obueYs6s34EQXLMd_7BccLp) - keep one"
2018,12,Regular,,MISSING,Only the Special issue exists for Dec 2018
